,Make,Type,Origin,DriveTrain,MSRP,EngineSize,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length,Convertible,Doors_2,Model Name
20,Audi,Sports,Europe,Front,67511,4.2,8,390,15,22,4024,109,191,0,0,RS
21,Audi,Sports,Europe,Front,35940,1.8,4,180,20,28,3131,95,159,1,1,TT
22,Audi,Sports,Europe,All,37390,1.8,4,225,20,28,2921,96,159,1,1,TT
23,Audi,Sports,Europe,All,40590,3.2,6,250,21,29,3351,96,159,1,1,TT
24,Audi,Wagon,Europe,All,40840,3.0,6,220,18,25,4035,109,192,0,0,A6
25,Audi,Wagon,Europe,All,49090,4.2,8,340,15,21,3936,104,179,0,0,S4
26,BMW,SUV,Europe,All,37000,3.0,6,225,16,23,4023,110,180,0,0,X3
27,BMW,SUV,Europe,All,52195,4.4,8,325,16,22,4824,111,184,0,0,X5
28,BMW,Sedan,Europe,Rear,28495,2.5,6,184,20,29,3219,107,176,0,0,325i
29,BMW,Sedan,Europe,Rear,30795,2.5,6,184,20,29,3197,107,177,0,1,325Ci
30,BMW,Sedan,Europe,Rear,37995,2.5,6,184,19,27,3560,107,177,1,1,325Ci
31,BMW,Sedan,Europe,All,30245,2.5,6,184,19,27,3461,107,176,0,0,325xi
32,BMW,Sedan,Europe,Rear,35495,3.0,6,225,20,30,3285,107,176,0,0,330i
33,BMW,Sedan,Europe,Rear,36995,3.0,6,225,20,30,3285,107,176,0,1,330Ci
34,BMW,Sedan,Europe,All,37245,3.0,6,225,20,29,3483,107,176,0,0,330xi
35,BMW,Sedan,Europe,Rear,39995,2.5,6,184,19,28,3428,114,191,0,0,525i
36,BMW,Sedan,Europe,Rear,44295,3.0,6,225,19,28,3616,107,177,1,1,330Ci
37,BMW,Sedan,Europe,Rear,44995,3.0,6,225,20,30,3472,114,191,0,0,530i
38,BMW,Sedan,Europe,Rear,54995,4.4,8,325,18,26,3814,114,191,0,0,545iA
39,BMW,Sedan,Europe,Rear,67511,4.4,8,325,18,26,4376,118,198,0,0,745i
40,BMW,Sedan,Europe,Rear,67511,4.4,8,325,18,26,4464,123,204,0,0,745Li
41,BMW,Sports,Europe,Rear,48195,3.2,6,333,16,24,3415,108,177,0,1,M3
42,BMW,Sports,Europe,Rear,56595,3.2,6,333,16,23,3781,108,177,1,1,M3
43,BMW,Sports,Europe,Rear,33895,2.5,6,184,20,28,2932,98,161,1,1,Z4
44,BMW,Sports,Europe,Rear,41045,3.0,6,225,21,29,2998,98,161,1,1,Z4
45,BMW,Wagon,Europe,All,32845,2.5,6,184,19,26,3594,107,176,0,0,325xi
46,Buick,SUV,USA,All,37895,4.2,6,275,15,21,4600,113,193,0,0,Rainier
47,Buick,SUV,USA,Front,26545,3.4,6,185,19,26,4024,112,187,0,0,Rendezvous
48,Buick,Sedan,USA,Front,22180,3.1,6,175,20,30,3353,109,195,0,0,Century
49,Buick,Sedan,USA,Front,26470,3.8,6,205,20,29,3567,112,200,0,0,LeSabre
50,Buick,Sedan,USA,Front,24895,3.8,6,200,20,30,3461,109,196,0,0,Regal
51,Buick,Sedan,USA,Front,28345,3.8,6,240,18,28,3536,109,196,0,0,Regal
52,Buick,Sedan,USA,Front,32245,3.8,6,205,20,29,3591,112,200,0,0,LeSabre
53,Buick,Sedan,USA,Front,35545,3.8,6,205,20,29,3778,114,207,0,0,Park
54,Buick,Sedan,USA,Front,40720,3.8,6,240,18,28,3909,114,207,0,0,Park
55,Cadillac,SUV,USA,Front,52795,5.3,8,295,14,18,5288,116,199,0,0,Escalade
56,Cadillac,SUV,USA,Front,46995,4.6,8,320,16,21,4302,116,195,0,0,SRX
57,Cadillac,Sedan,USA,Rear,30835,3.6,6,255,18,25,3694,113,190,0,0,CTS
58,Cadillac,Sedan,USA,Front,45445,4.6,8,275,18,26,3984,115,207,0,0,Deville
59,Cadillac,Sedan,USA,Front,50595,4.6,8,300,18,26,4044,115,207,0,0,Deville
60,Cadillac,Sedan,USA,Front,47955,4.6,8,275,18,26,3992,112,201,0,0,Seville
61,Cadillac,Sports,USA,Rear,67511,4.6,8,320,17,25,3647,106,178,1,1,XLR
62,Cadillac,Truck,USA,All,52975,6.0,8,345,13,17,5288,125,218,0,0,Escalade
63,Chevrolet,SUV,USA,Front,42735,5.3,8,295,14,18,4947,125,218,0,0,Suburban
64,Chevrolet,SUV,USA,All,41465,5.3,8,295,14,18,5050,116,197,0,0,Tahoe
65,Chevrolet,SUV,USA,Front,30295,4.2,6,275,16,21,4425,113,192,0,0,TrailBlazer
66,Chevrolet,SUV,USA,Front,20255,2.5,6,165,19,22,2866,98,163,0,0,Tracker
67,Chevrolet,Sedan,USA,Front,11690,1.6,4,103,27,34,2370,98,167,0,0,Aveo
68,Chevrolet,Sedan,USA,Front,12585,1.6,4,103,27,34,2348,98,154,0,0,Aveo
69,Chevrolet,Sedan,USA,Front,14610,2.2,4,140,26,36,2617,104,183,0,1,Cavalier
70,Chevrolet,Sedan,USA,Front,14810,2.2,4,140,26,36,2676,104,183,0,0,Cavalier
71,Chevrolet,Sedan,USA,Front,16385,2.2,4,140,26,36,2617,104,183,0,1,Cavalier
72,Chevrolet,Sedan,USA,Front,21900,3.4,6,180,21,32,3465,111,200,0,0,Impala
73,Chevrolet,Sedan,USA,Front,18995,2.2,4,145,24,34,3174,106,188,0,0,Malibu
74,Chevrolet,Sedan,USA,Front,20370,3.5,6,200,22,30,3297,106,188,0,0,Malibu
75,Chevrolet,Sedan,USA,Front,21825,3.4,6,180,21,32,3340,111,198,0,1,Monte
76,Chevrolet,Sedan,USA,Front,25000,3.8,6,200,20,30,3476,111,200,0,0,Impala
77,Chevrolet,Sedan,USA,Front,27995,3.8,6,240,18,28,3606,111,200,0,0,Impala
78,Chevrolet,Sedan,USA,Front,23495,3.5,6,200,23,32,3315,106,188,0,0,Malibu
79,Chevrolet,Sedan,USA,Front,24225,3.8,6,200,18,28,3434,111,198,0,1,Monte
80,Chevrolet,Sedan,USA,All,26395,4.3,6,190,14,17,4605,111,190,0,0,Astro
81,Chevrolet,Sedan,USA,Front,27020,3.4,6,185,19,26,3699,112,187,0,0,Venture
82,Chevrolet,Sports,USA,Rear,44535,5.7,8,350,18,25,3246,105,180,0,1,Corvette
83,Chevrolet,Sports,USA,Rear,51535,5.7,8,350,18,25,3248,105,180,1,1,Corvette
84,Chevrolet,Truck,USA,All,36100,5.3,8,295,14,18,5288,125,218,0,0,Avalanche
85,Chevrolet,Truck,USA,All,18760,2.8,4,175,18,23,3623,111,192,0,0,Colorado
86,Chevrolet,Truck,USA,Rear,20310,4.3,6,200,15,21,4142,119,206,0,0,Silverado
87,Chevrolet,Truck,USA,All,40340,6.0,8,300,13,17,4804,125,218,0,0,Silverado
88,Chevrolet,Truck,USA,Rear,41995,5.3,8,300,16,19,4760,116,191,0,0,SSR
89,Chevrolet,Wagon,USA,Front,22225,3.5,6,200,22,30,3458,112,188,0,0,Malibu
90,Chrysler,Sedan,USA,Front,17985,2.4,4,150,22,29,3101,103,169,0,0,PT
91,Chrysler,Sedan,USA,Front,22000,2.4,4,150,22,29,3105,103,169,0,0,PT
92,Chrysler,Sedan,USA,Front,19090,2.4,4,150,22,30,3173,108,191,0,0,Sebring
93,Chrysler,Sedan,USA,Front,21840,2.7,6,200,21,28,3222,108,191,0,0,Sebring
94,Chrysler,Sedan,USA,Front,29865,3.5,6,250,18,27,3581,113,198,0,0,300M
95,Chrysler,Sedan,USA,Front,24130,2.7,6,200,21,29,3479,113,208,0,0,Concorde
96,Chrysler,Sedan,USA,Front,26860,3.5,6,232,19,27,3548,113,208,0,0,Concorde
97,Chrysler,Sedan,USA,Front,25955,2.4,4,220,21,27,3217,103,169,0,0,PT
98,Chrysler,Sedan,USA,Front,25215,2.4,4,150,22,30,3357,106,194,1,1,Sebring
99,Chrysler,Sedan,USA,Front,33295,3.5,6,255,18,27,3650,113,198,0,0,300M
100,Chrysler,Sedan,USA,Front,30950,2.7,6,200,21,28,3448,106,194,1,1,Sebring
101,Chrysler,Sedan,USA,Front,27490,3.3,6,180,19,26,4068,119,201,0,0,Town
102,Chrysler,Sedan,USA,Front,38380,3.8,6,215,18,25,4331,119,201,0,0,Town
103,Chrysler,Sports,USA,Rear,34495,3.2,6,215,17,25,3060,95,160,0,1,Crossfire
104,Chrysler,Wagon,USA,Rear,31230,3.5,6,250,17,23,4675,116,199,0,0,Pacifica
105,Dodge,SUV,USA,All,32235,4.7,8,230,15,21,4987,119,201,0,0,Durango
106,Dodge,Sedan,USA,Front,13670,2.0,4,132,27,36,2581,105,174,0,0,Neon
107,Dodge,Sedan,USA,Front,15040,2.0,4,132,27,36,2626,105,174,0,0,Neon
108,Dodge,Sedan,USA,Front,22035,2.7,6,200,21,29,3469,113,204,0,0,Intrepid
109,Dodge,Sedan,USA,Front,18820,2.4,4,150,21,28,3182,108,191,0,0,Stratus
110,Dodge,Sedan,USA,Front,20220,2.4,4,150,21,28,3175,108,191,0,0,Stratus
111,Dodge,Sedan,USA,Front,24885,3.5,6,232,18,27,3487,113,204,0,0,Intrepid
112,Dodge,Sedan,USA,Front,21795,2.4,4,150,20,26,3862,113,189,0,0,Caravan
113,Dodge,Sedan,USA,All,32660,3.8,6,215,18,25,4440,119,201,0,0,Grand
114,Dodge,Sports,USA,Rear,67511,6.1875,9,390,12,20,3410,99,176,1,1,Viper
115,Dodge,Truck,USA,Rear,17630,3.7,6,210,16,22,3714,112,193,0,0,Dakota
116,Dodge,Truck,USA,Rear,20300,3.7,6,210,16,22,3829,125,218,0,0,Dakota
117,Dodge,Truck,USA,Rear,20215,3.7,6,215,16,21,4542,121,208,0,0,Ram
118,Ford,SUV,USA,All,41475,6.1875,9,310,10,16,5288,125,218,0,0,Excursion
119,Ford,SUV,USA,Front,34560,4.6,8,232,15,19,5000,119,206,0,0,Expedition
120,Ford,SUV,USA,All,29670,4.0,6,210,15,20,4463,114,190,0,0,Explorer
121,Ford,SUV,USA,All,22515,3.0,6,201,18,23,3346,103,173,0,0,Escape
122,Ford,Sedan,USA,Front,13270,2.0,4,130,26,33,2612,103,168,0,1,Focus
123,Ford,Sedan,USA,Front,13730,2.0,4,110,27,36,2606,103,168,0,0,Focus
124,Ford,Sedan,USA,Front,15460,2.0,4,130,26,33,2606,103,168,0,0,Focus
125,Ford,Sedan,USA,Front,15580,2.0,4,130,26,33,2691,103,168,0,0,Focus
126,Ford,Sedan,USA,Front,19135,2.0,4,170,21,28,2750,103,168,0,1,Focus
127,Ford,Sedan,USA,Front,20320,3.0,6,155,20,27,3306,109,198,0,0,Taurus
128,Ford,Sedan,USA,Front,22735,3.0,6,201,19,26,3313,109,198,0,0,Taurus
129,Ford,Sedan,USA,Rear,24345,4.6,8,224,17,25,4057,115,212,0,0,Crown
130,Ford,Sedan,USA,Rear,27370,4.6,8,224,17,25,4057,115,212,0,0,Crown
131,Ford,Sedan,USA,Rear,30315,4.6,8,239,17,25,4057,115,212,0,0,Crown
132,Ford,Sedan,USA,Front,26930,3.9,6,193,17,23,4275,121,201,0,0,Freestar
133,Ford,Sports,USA,Rear,18345,3.8,6,193,20,29,3290,101,183,1,1,Mustang
134,Ford,Sports,USA,Rear,29380,4.6,8,260,17,25,3347,101,183,1,1,Mustang
135,Ford,Sports,USA,Front,37530,3.9,8,280,17,24,3780,107,186,0,0,Thunderbird
136,Ford,Truck,USA,Rear,22010,4.6,8,231,15,19,4788,125,211,0,0,F-150
137,Ford,Truck,USA,All,33540,5.4,8,300,14,18,5288,125,218,0,0,F-150
138,Ford,Truck,USA,Rear,14385,2.3,4,143,24,29,3028,111,188,0,0,Ranger
139,Ford,Wagon,USA,Front,17475,2.0,4,130,26,33,2702,103,178,0,0,Focus
140,Ford,Wagon,USA,Front,22290,3.0,6,155,19,26,3497,109,198,0,0,Taurus
141,GMC,SUV,USA,Front,31890,4.2,6,275,15,19,4945,125,208,0,0,Envoy
142,GMC,SUV,USA,Front,35725,4.8,8,285,16,19,5042,116,199,0,0,Yukon
143,GMC,SUV,USA,All,46265,6.0,8,325,13,17,5288,125,218,0,0,Yukon
144,GMC,Sedan,USA,Rear,25640,4.3,6,190,16,20,4309,111,190,0,0,Safari
145,GMC,Truck,USA,Rear,16530,2.8,4,175,18,25,3351,111,192,0,0,Canyon
146,GMC,Truck,USA,Rear,25717,4.8,8,285,17,20,4548,125,218,0,0,Sierra
147,GMC,Truck,USA,All,29322,6.0,8,300,13,18,5288,125,218,0,0,Sierra
148,GMC,Truck,USA,All,25395,4.3,6,190,15,19,4083,123,208,0,0,Sonoma
149,Honda,Hybrid,Asia,Front,20140,1.4,4,93,27,36,2732,103,175,0,0,Civic
150,Honda,Hybrid,Asia,Front,19110,2.0,3,73,27,36,1850,95,155,0,1,Insight
151,Honda,SUV,Asia,All,27560,3.5,6,240,17,22,4387,106,188,0,0,Pilot
152,Honda,SUV,Asia,All,19860,2.4,4,160,21,25,3258,103,179,0,0,CR-V
153,Honda,SUV,Asia,All,18690,2.4,4,160,21,24,3468,101,167,0,0,Element
154,Honda,Sedan,Asia,Front,13270,1.7,4,115,27,36,2432,103,175,0,1,Civic
155,Honda,Sedan,Asia,Front,14170,1.7,4,117,27,36,2500,103,175,0,1,Civic
156,Honda,Sedan,Asia,Front,15850,1.7,4,115,27,36,2513,103,175,0,0,Civic
157,Honda,Sedan,Asia,Front,19860,2.4,4,160,26,34,2994,105,188,0,1,Accord
158,Honda,Sedan,Asia,Front,22260,2.4,4,160,26,34,3047,105,188,0,1,Accord
159,Honda,Sedan,Asia,Front,17750,1.7,4,127,27,36,2601,103,175,0,0,Civic
160,Honda,Sedan,Asia,Front,19490,2.0,4,160,26,30,2782,101,166,0,1,Civic
161,Honda,Sedan,Asia,Front,23760,3.0,6,240,21,30,3349,108,190,0,0,Accord
162,Honda,Sedan,Asia,Front,26960,3.0,6,240,21,30,3294,105,188,0,1,Accord
163,Honda,Sedan,Asia,Front,24950,3.5,6,240,18,25,4310,118,201,0,0,Odyssey
164,Honda,Sedan,Asia,Front,27450,3.5,6,240,18,25,4365,118,201,0,0,Odyssey
165,Honda,Sports,Asia,Rear,33260,2.2,4,240,20,25,2835,95,162,1,1,S2000
166,Hummer,SUV,USA,All,49995,6.0,8,316,10,16,5288,123,190,0,0,H2
167,Hyundai,SUV,Asia,Front,21589,2.7,6,173,20,26,3549,103,177,0,0,Santa
168,Hyundai,Sedan,Asia,Front,10539,1.6,4,103,27,33,2255,96,167,0,1,Accent
169,Hyundai,Sedan,Asia,Front,11839,1.6,4,103,27,33,2290,96,167,0,0,Accent
170,Hyundai,Sedan,Asia,Front,11939,1.6,4,103,27,33,2339,96,167,0,1,Accent
171,Hyundai,Sedan,Asia,Front,13839,2.0,4,138,26,34,2635,103,178,0,0,Elantra
172,Hyundai,Sedan,Asia,Front,15389,2.0,4,138,26,34,2635,103,178,0,0,Elantra
173,Hyundai,Sedan,Asia,Front,15389,2.0,4,138,26,34,2698,103,178,0,0,Elantra
174,Hyundai,Sedan,Asia,Front,19339,2.7,6,170,19,27,3217,106,187,0,0,Sonata
175,Hyundai,Sedan,Asia,Front,20339,2.7,6,170,19,27,3217,106,187,0,0,Sonata
176,Hyundai,Sedan,Asia,Front,24589,3.5,6,194,17,26,3651,108,192,0,0,XG350
177,Hyundai,Sedan,Asia,Front,26189,3.5,6,194,17,26,3651,108,192,0,0,XG350
178,Hyundai,Sports,Asia,Front,18739,2.7,6,172,19,26,3023,100,173,0,1,Tiburon
179,Infiniti,Sedan,Asia,Rear,28495,3.5,6,260,18,26,3336,112,187,0,0,G35
180,Infiniti,Sedan,Asia,Rear,29795,3.5,6,280,18,26,3416,112,182,0,1,G35
181,Infiniti,Sedan,Asia,All,32445,3.5,6,260,18,26,3677,112,187,0,0,G35
182,Infiniti,Sedan,Asia,Front,31145,3.5,6,255,19,26,3306,108,194,0,0,I35
183,Infiniti,Sedan,Asia,Rear,42845,4.5,8,340,17,23,3851,110,197,0,0,M45
184,Infiniti,Sedan,Asia,Rear,52545,4.5,8,340,17,23,3977,113,200,0,0,Q45
185,Infiniti,Wagon,Asia,Rear,34895,3.5,6,280,16,22,4056,112,189,0,0,FX35
186,Infiniti,Wagon,Asia,All,36395,4.5,8,315,15,19,4309,112,189,0,0,FX45
187,Isuzu,SUV,Asia,All,31849,4.2,6,275,15,20,4967,125,208,0,0,Ascender
188,Isuzu,SUV,Asia,Front,20449,3.2,6,193,17,21,3836,106,178,0,0,Rodeo
189,Jaguar,Sedan,Europe,All,29995,2.5,6,192,18,26,3428,107,184,0,0,X-Type
190,Jaguar,Sedan,Europe,All,33995,3.0,6,227,18,25,3516,107,184,0,0,X-Type
191,Jaguar,Sedan,Europe,Rear,43895,3.0,6,235,18,26,3777,115,192,0,0,S-Type
192,Jaguar,Sedan,Europe,Rear,49995,4.2,8,294,18,28,3874,115,192,0,0,S-Type
193,Jaguar,Sedan,Europe,Rear,63120,4.2,8,390,17,24,4046,115,192,0,0,S-Type
194,Jaguar,Sedan,Europe,Rear,67511,4.2,8,294,18,28,3803,119,200,0,0,Vanden
195,Jaguar,Sedan,Europe,Rear,59995,4.2,8,294,18,28,3803,119,200,0,0,XJ8
196,Jaguar,Sedan,Europe,Rear,67511,4.2,8,390,17,24,3948,119,200,0,0,XJR
197,Jaguar,Sports,Europe,Rear,67511,4.2,8,294,18,26,3779,102,187,0,1,XK8
198,Jaguar,Sports,Europe,Rear,67511,4.2,8,294,18,26,3980,102,187,1,1,XK8
199,Jaguar,Sports,Europe,Rear,67511,4.2,8,390,16,23,3865,102,187,0,1,XKR
200,Jaguar,Sports,Europe,Rear,67511,4.2,8,390,16,23,4042,102,187,1,1,XKR
201,Jeep,SUV,USA,Front,27905,4.0,6,195,16,21,3790,106,181,0,0,Grand
202,Jeep,SUV,USA,All,20130,2.4,4,150,20,24,3826,104,174,0,0,Liberty
203,Jeep,SUV,USA,All,25520,4.0,6,190,16,19,3575,93,154,1,1,Wrangler
204,Kia,SUV,Asia,Front,19635,3.5,6,192,16,19,4112,107,180,0,0,Sorento
205,Kia,Sedan,Asia,Front,16040,2.4,4,138,23,30,3281,106,186,0,0,Optima
206,Kia,Sedan,Asia,Front,10280,1.6,4,104,26,33,2403,95,167,0,0,Rio
207,Kia,Sedan,Asia,Front,11155,1.6,4,104,25,32,2458,95,167,0,0,Rio
208,Kia,Sedan,Asia,Front,12360,1.8,4,124,24,32,2661,101,178,0,0,Spectra
209,Kia,Sedan,Asia,Front,13580,1.8,4,124,24,32,2686,101,178,0,0,Spectra
210,Kia,Sedan,Asia,Front,14630,1.8,4,124,24,32,2697,101,178,0,0,Spectra
211,Kia,Sedan,Asia,Front,18435,2.7,6,170,20,27,3279,106,186,0,0,Optima
212,Kia,Sedan,Asia,Front,26000,3.5,6,195,17,25,4021,110,196,0,0,Amanti
213,Kia,Sedan,Asia,Front,20615,3.5,6,195,16,22,4802,115,194,0,0,Sedona
214,Kia,Wagon,Asia,Front,11905,1.6,4,104,26,33,2447,95,167,0,0,Rio
215,Land Rover,SUV,Europe,All,67511,4.4,8,282,12,16,5288,113,195,0,0,Range
216,Land Rover,SUV,Europe,All,39250,4.6,8,217,12,16,4576,100,185,0,0,Discovery
217,Land Rover,SUV,Europe,All,25995,2.5,6,174,18,21,3577,101,175,0,0,Freelander
218,Lexus,SUV,Asia,All,45700,4.7,8,235,15,19,4740,110,188,0,0,GX
219,Lexus,SUV,Asia,All,64800,4.7,8,235,13,17,5288,112,193,0,0,LX
220,Lexus,SUV,Asia,All,39195,3.3,6,230,18,24,4065,107,186,0,0,RX
221,Lexus,Sedan,Asia,Front,32350,3.3,6,225,20,29,3460,107,191,0,0,ES
222,Lexus,Sedan,Asia,Rear,31045,3.0,6,215,18,25,3255,105,177,0,0,IS
223,Lexus,Sedan,Asia,Rear,32415,3.0,6,215,18,24,3285,105,177,0,0,IS
224,Lexus,Sedan,Asia,Rear,41010,3.0,6,220,18,25,3649,110,189,0,0,GS
225,Lexus,Sedan,Asia,Rear,48450,4.3,8,300,18,23,3715,110,189,0,0,GS
226,Lexus,Sedan,Asia,Rear,55750,4.3,8,290,18,25,3990,115,197,0,0,LS
227,Lexus,Sports,Asia,Rear,63200,4.3,8,300,18,23,3840,103,178,1,1,SC
228,Lexus,Wagon,Asia,Rear,32455,3.0,6,215,18,24,3410,105,177,0,0,IS
229,Lincoln,SUV,USA,All,52775,5.4,8,300,13,18,5288,119,206,0,0,Navigator
230,Lincoln,SUV,USA,Front,42915,4.6,8,302,13,18,4834,114,193,0,0,Aviator
231,Lincoln,Sedan,USA,Rear,32495,3.0,6,232,20,26,3681,115,194,0,0,LS
232,Lincoln,Sedan,USA,Rear,36895,3.0,6,232,20,26,3681,115,194,0,0,LS
233,Lincoln,Sedan,USA,Rear,40095,3.9,8,280,17,24,3768,115,194,0,0,LS
234,Lincoln,Sedan,USA,Rear,43495,3.9,8,280,17,24,3768,115,194,0,0,LS
235,Lincoln,Sedan,USA,Rear,41815,4.6,8,239,17,25,4369,118,215,0,0,Town
236,Lincoln,Sedan,USA,Rear,44925,4.6,8,239,17,25,4369,118,215,0,0,Town
237,Lincoln,Sedan,USA,Rear,50470,4.6,8,239,17,25,4474,124,218,0,0,Town
238,MINI,Sedan,Europe,Front,16999,1.6,4,115,27,36,2524,97,154,0,0,Cooper
239,MINI,Sedan,Europe,Front,19999,1.6,4,163,25,34,2678,97,154,0,0,Cooper
240,Mazda,SUV,Asia,All,21087,2.0,4,130,22,25,3091,103,173,0,0,Tribute
241,Mazda,Sedan,Asia,Front,15500,2.0,4,148,26,34,2696,104,178,0,0,Mazda3
242,Mazda,Sedan,Asia,Front,17200,2.3,4,160,25,31,2762,104,179,0,0,Mazda3
243,Mazda,Sedan,Asia,Front,19270,2.3,4,160,24,32,3042,105,187,0,0,Mazda6
244,Mazda,Sedan,Asia,Front,28750,3.0,6,200,18,25,3812,112,188,0,0,MPV
245,Mazda,Sports,Asia,Rear,22388,1.8,4,142,23,28,2387,89,156,1,1,MX-5
246,Mazda,Sports,Asia,Rear,25193,1.8,4,142,23,28,2387,89,156,1,1,MX-5
247,Mazda,Sports,Asia,Rear,25700,1.3,6,197,18,25,3053,106,174,0,0,RX-8
248,Mazda,Sports,Asia,Rear,27200,1.3,6,238,18,24,3029,106,174,0,0,RX-8
249,Mazda,Truck,Asia,Rear,14840,2.3,4,143,24,29,2960,112,188,0,0,B2300
250,Mazda,Truck,Asia,All,22350,4.0,6,207,15,19,3571,125,203,0,0,B4000
251,Mercedes-Benz,SUV,Europe,All,67511,5.0,8,292,13,16,5288,112,186,0,0,G500
252,Mercedes-Benz,SUV,Europe,All,46470,5.0,8,288,14,17,4874,111,183,0,0,ML500
253,Mercedes-Benz,Sedan,Europe,Rear,26060,1.8,4,189,22,30,3250,107,178,0,1,C230
254,Mercedes-Benz,Sedan,Europe,Rear,28370,3.2,6,215,19,26,3430,107,178,0,1,C320
255,Mercedes-Benz,Sedan,Europe,Rear,32280,2.6,6,168,20,25,3360,107,178,0,0,C240
256,Mercedes-Benz,Sedan,Europe,All,33480,2.6,6,168,19,25,3360,107,178,0,0,C240
257,Mercedes-Benz,Sedan,Europe,Rear,35920,3.2,6,215,19,26,3430,107,178,0,0,C320
258,Mercedes-Benz,Sedan,Europe,Rear,37630,3.2,6,215,20,26,3450,107,178,0,0,C320
259,Mercedes-Benz,Sedan,Europe,All,38830,3.2,6,215,19,27,3450,107,178,0,0,C320
260,Mercedes-Benz,Sedan,Europe,Rear,52120,3.2,6,349,16,21,3540,107,178,0,0,C32
261,Mercedes-Benz,Sedan,Europe,Rear,67511,5.0,8,302,16,24,4085,114,196,0,1,CL500
262,Mercedes-Benz,Sedan,Europe,Rear,67511,5.5,9,390,13,19,4473,114,196,0,1,CL600
263,Mercedes-Benz,Sedan,Europe,Rear,45707,3.2,6,215,20,26,3770,107,183,1,1,CLK320
264,Mercedes-Benz,Sedan,Europe,Rear,52800,5.0,8,302,17,22,3585,107,183,1,1,CLK500
265,Mercedes-Benz,Sedan,Europe,Rear,48170,3.2,6,221,19,27,3635,112,190,0,0,E320
266,Mercedes-Benz,Sedan,Europe,Rear,57270,5.0,8,302,16,20,3815,112,190,0,0,E500
267,Mercedes-Benz,Sedan,Europe,Rear,67511,4.3,8,275,18,26,4160,122,203,0,0,S430
268,Mercedes-Benz,Sedan,Europe,All,67511,5.0,8,302,16,24,4390,122,203,0,0,S500
269,Mercedes-Benz,Sports,Europe,Rear,67511,5.0,8,302,16,23,4065,101,179,1,1,SL500
270,Mercedes-Benz,Sports,Europe,Rear,67511,5.5,8,390,14,21,4235,101,179,0,1,SL55
271,Mercedes-Benz,Sports,Europe,Rear,67511,5.5,9,390,13,19,4429,101,179,1,1,SL600
272,Mercedes-Benz,Sports,Europe,Rear,40320,2.3,4,192,21,29,3055,95,158,1,1,SLK230
273,Mercedes-Benz,Sports,Europe,Rear,56170,3.2,6,349,17,22,3220,95,158,0,1,SLK32
274,Mercedes-Benz,Wagon,Europe,Rear,33780,2.6,6,168,19,25,3470,107,179,0,0,C240
275,Mercedes-Benz,Wagon,Europe,Rear,50670,3.2,6,221,19,27,3966,112,190,0,0,E320
276,Mercedes-Benz,Wagon,Europe,All,60670,5.0,8,302,16,24,4230,112,190,0,0,E500
277,Mercury,SUV,USA,Front,29995,4.0,6,210,16,21,4374,114,190,0,0,Mountaineer
278,Mercury,Sedan,USA,Front,21595,3.0,6,155,20,27,3308,109,200,0,0,Sable
279,Mercury,Sedan,USA,Rear,24695,4.6,8,224,17,25,4052,115,212,0,0,Grand
280,Mercury,Sedan,USA,Rear,29595,4.6,8,224,17,25,4052,115,212,0,0,Grand
